date,portfolio_value
2010-02-11,100000.00
2010-02-12,100000.00
2010-02-16,101487.86
2010-02-17,103210.12
2010-02-18,105166.78
2010-02-19,105166.78
2010-02-22,103254.81
2010-02-23,99223.55
2010-02-24,100972.71
2010-02-25,100972.71
2010-02-26,100972.71
2010-03-01,103987.75
2010-03-02,104612.95
2010-03-03,105194.00
2010-03-04,106355.23
2010-03-05,108621.95
2010-03-08,109125.96
2010-03-09,111057.71
2010-03-10,113775.32
2010-03-11,114823.13
2010-03-12,115085.09
2010-03-15,115074.12
2010-03-16,117250.01
2010-03-17,118139.85
2010-03-18,118139.85
2010-03-19,118139.85
2010-03-22,122770.28
2010-03-23,125337.99
2010-03-24,123555.14
2010-03-25,122781.46
2010-03-26,123420.81
2010-03-29,123228.12
2010-03-30,124520.21
2010-03-31,122841.82
2010-04-01,122598.85
2010-04-05,125202.68
2010-04-06,126156.40
2010-04-07,125443.85
2010-04-08,125893.36
2010-04-09,128161.93
2010-04-12,128238.27
2010-04-13,130171.93
2010-04-14,134759.46
2010-04-15,136561.83
2010-04-16,131700.83
2010-04-19,132737.35
2010-04-20,134699.90
2010-04-21,137070.61
2010-04-22,139099.63
2010-04-23,140941.08
2010-04-26,139795.26
2010-04-27,131167.42
2010-04-28,133184.01
2010-04-29,133184.01
2010-04-30,133154.97
2010-05-03,137020.98
2010-05-04,124907.41
2010-05-05,120992.06
2010-05-06,121018.40
2010-05-07,121018.40
2010-05-10,123452.76
2010-05-11,123371.26
2010-05-12,129866.83
2010-05-13,129838.55
2010-05-14,129866.83
2010-05-17,130356.28
2010-05-18,125373.84
2010-05-19,123210.89
2010-05-20,123210.89
2010-05-21,123210.89
2010-05-24,123553.34
2010-05-25,122682.70
2010-05-26,118887.25
2010-05-27,126806.35
2010-05-28,126833.96
2010-06-01,124610.80
2010-06-02,129720.15
2010-06-03,129663.64
2010-06-04,129720.15
2010-06-07,120998.72
2010-06-08,120324.34
2010-06-09,122757.84
2010-06-10,122757.84
2010-06-11,122757.84
2010-06-14,119282.90
2010-06-15,128304.21
2010-06-16,128304.21
2010-06-17,128304.21
2010-06-18,128332.15
2010-06-21,120535.35
2010-06-22,117683.27
2010-06-23,118120.91
2010-06-24,118120.91
2010-06-25,118120.91
2010-06-28,116945.00
2010-06-29,103894.98
2010-06-30,102343.83
2010-07-01,102321.54
2010-07-02,102321.54
2010-07-06,99069.84
2010-07-07,104055.66
2010-07-08,104078.32
2010-07-09,104055.66
2010-07-12,105652.03
2010-07-13,110284.45
2010-07-14,110284.45
2010-07-15,110284.45
2010-07-16,110284.45
2010-07-19,112129.36
2010-07-20,115671.80
2010-07-21,120042.75
2010-07-22,120042.75
2010-07-23,120068.90
2010-07-26,122173.21
2010-07-27,122147.10
2010-07-28,119650.28
2010-07-29,116800.57
2010-07-30,113833.39
2010-08-02,115650.55
2010-08-03,114455.04
2010-08-04,117760.94
2010-08-05,117065.76
2010-08-06,116516.72
2010-08-09,116975.69
2010-08-10,114495.87
2010-08-11,108417.21
2010-08-12,108417.21
2010-08-13,108417.21
2010-08-16,110680.82
2010-08-17,116916.00
2010-08-18,116890.54
2010-08-19,116890.54
2010-08-20,116916.00
2010-08-23,111178.21
2010-08-24,104798.91
2010-08-25,102758.83
2010-08-26,102736.46
2010-08-27,102736.46
2010-08-30,100960.66
2010-08-31,100460.52
2010-09-01,104328.31
