trial,cagr,sharpe,max_drawdown,win_rate,total_trades,final_value,exposure_pct,profit_target_A,profit_target_C,profit_target_C_ratio,stop_trigger_close,entry_day_offset,weakness_mode,entry_timing,exit_timing
0,0.452244,0.7141,0.599794,0.5048,838,39704710.00,0.8718,0.137837,0.050308,0.364980,-0.017549,0,False,vwap_30m,close
1,0.015800,-0.0545,0.697491,0.5573,838,128586.36,0.5835,0.196734,0.153007,0.777739,-0.031798,2,False,open,close
2,0.012471,-0.0327,0.935066,0.5811,838,121990.43,0.5387,0.058516,0.021408,0.365857,-0.007259,2,True,10:00,15:30
3,0.561022,0.9742,0.512126,0.5191,838,126461955.72,0.7975,0.087972,0.014699,0.167093,-0.008351,0,False,10:00,15:30
4,-0.131498,-0.2091,0.997870,0.5310,838,10422.81,0.7410,0.121512,0.054073,0.445003,-0.021553,1,False,10:00,close
5,0.292539,0.3444,0.745391,0.5883,838,6128687.30,0.5994,0.041562,0.015311,0.368404,-0.012450,1,False,open,15:55
6,-0.104663,-0.1504,0.993345,0.5382,838,16980.34,0.5835,0.164732,0.049900,0.302916,-0.005610,2,False,vwap_30m,15:55
7,-0.222018,-0.3431,0.995946,0.5609,838,1783.74,0.5821,0.140769,0.025374,0.180254,-0.039130,2,False,vwap_30m,close
8,0.309960,0.6306,0.474062,0.5811,838,7596670.21,0.6914,0.047059,0.020458,0.434723,-0.017125,0,False,vwap_60m,15:55
9,0.523227,0.9916,0.390502,0.5394,838,85357088.50,0.7310,0.074150,0.043421,0.585586,-0.004895,0,True,vwap_30m,15:30
10,0.383465,0.5640,0.783501,0.5286,838,18234605.24,0.9291,0.198393,0.144677,0.729245,-0.038191,0,True,vwap_30m,15:55
11,0.101901,0.1643,0.699948,0.6301,838,474126.47,0.5855,0.039199,0.025262,0.644453,-0.027836,1,True,open,close
12,-0.168651,-0.2380,0.999404,0.5465,838,5169.59,0.7670,0.196029,0.130940,0.667965,-0.041090,1,False,vwap_60m,close
13,0.295282,0.3106,0.857634,0.5465,838,6340680.30,0.7665,0.155890,0.021391,0.137217,-0.044415,1,False,open,15:55
14,0.386050,0.6400,0.602532,0.5382,838,18788788.01,0.8480,0.128879,0.040044,0.310706,-0.025257,0,True,10:00,15:55
15,-0.054212,-0.0888,0.995661,0.5131,838,40904.75,0.7367,0.175765,0.099739,0.567460,-0.012281,1,False,vwap_30m,15:55
16,-0.088547,-0.1250,0.993888,0.5346,838,22604.88,0.7132,0.088747,0.064643,0.728397,-0.015854,1,True,vwap_30m,15:55
17,0.521684,0.6394,0.761353,0.5656,838,83980630.05,0.9008,0.093757,0.009852,0.105078,-0.049776,0,False,9:35,15:30
18,0.542476,0.6663,0.681056,0.5692,838,104402480.84,0.8949,0.090191,0.009433,0.104586,-0.049244,0,False,9:35,15:30
19,0.604094,1.0096,0.512173,0.5346,838,195679092.02,0.8176,0.087666,0.010251,0.116928,-0.013540,0,False,9:35,15:30
20,0.543262,0.7196,0.438117,0.6408,838,105258529.54,0.7908,0.085749,0.010486,0.122283,-0.049655,0,True,9:35,15:30
21,0.538199,0.7123,0.453161,0.6420,838,99855159.60,0.7920,0.082839,0.012592,0.152001,-0.049926,0,True,9:35,15:30
22,0.558142,0.7477,0.427964,0.6539,838,122770230.84,0.7759,0.080711,0.008667,0.107384,-0.049796,0,True,9:35,15:30
23,0.569751,1.0074,0.446664,0.5370,838,138292841.97,0.7804,0.084321,0.047546,0.563871,-0.011048,0,True,9:35,15:30
24,0.579155,1.0449,0.350960,0.5251,838,152195877.32,0.7573,0.086389,0.048105,0.556837,-0.004060,0,True,9:35,15:30
25,0.538036,0.6771,0.553214,0.5847,838,99685281.55,0.8651,0.084777,0.051047,0.602132,-0.049439,0,True,9:35,15:30
26,0.521349,0.6511,0.653772,0.5788,838,83685173.92,0.8778,0.094947,0.051210,0.539350,-0.049668,0,True,9:35,15:30
27,0.537458,1.0240,0.394899,0.5549,838,99085571.01,0.7243,0.089159,0.019843,0.222552,-0.003776,0,True,9:35,15:30
28,0.582206,1.0551,0.353032,0.5239,838,156980883.79,0.7543,0.086430,0.047438,0.548865,-0.003430,0,True,9:35,15:30
29,0.575641,0.7425,0.488423,0.6241,838,146854151.37,0.8237,0.092107,0.019575,0.212524,-0.049918,0,True,9:35,15:30
30,0.530814,1.0097,0.394240,0.5549,838,92437075.74,0.7266,0.087636,0.019383,0.221173,-0.005373,0,True,9:35,15:30
31,0.560937,0.7278,0.429737,0.6253,838,126350663.50,0.8208,0.089857,0.019366,0.215520,-0.049989,0,True,9:35,15:30
32,0.536785,0.6946,0.503993,0.6205,838,98392720.27,0.8275,0.094529,0.019546,0.206777,-0.049986,0,True,9:35,15:30
33,0.008422,-0.0757,0.732360,0.5346,838,114396.96,0.5783,0.109408,0.023107,0.211203,-0.003789,2,False,9:35,15:30
34,0.072648,0.1150,0.505843,0.7053,838,307950.79,0.4197,0.022096,0.004792,0.216878,-0.032764,2,False,9:35,15:30
35,0.139214,0.1383,0.719183,0.5418,838,808829.12,0.5783,0.107990,0.023826,0.220629,-0.009740,2,False,9:35,15:30
36,0.071707,0.1047,0.476774,0.6683,838,303646.24,0.4383,0.024632,0.005311,0.215606,-0.003136,2,False,9:35,15:30
37,0.065552,0.0852,0.469207,0.6718,838,276852.43,0.4358,0.023999,0.005535,0.230648,-0.003704,2,False,9:35,15:30
38,0.415585,0.6526,0.703614,0.5334,838,26348765.88,0.8894,0.108788,0.023893,0.219629,-0.031138,0,False,9:35,15:30
39,0.347761,0.3841,0.806724,0.5191,838,11988799.64,0.7117,0.108982,0.056944,0.522514,-0.010376,1,True,9:35,15:30
40,-0.178201,-0.2991,0.990000,0.6647,838,4295.19,0.4403,0.024972,0.011781,0.471758,-0.010049,2,False,vwap_60m,15:30
41,-0.124733,-0.1743,0.992516,0.5406,838,11804.08,0.5783,0.109826,0.055253,0.503092,-0.010773,2,False,vwap_60m,15:30
42,-0.126478,-0.1756,0.992809,0.5382,838,11432.20,0.5783,0.110295,0.056317,0.510599,-0.010088,2,False,vwap_60m,15:30
43,-0.181134,-0.3039,0.990152,0.6742,838,4055.83,0.4331,0.023586,0.011927,0.505684,-0.010272,2,False,vwap_60m,15:30
44,-0.125240,-0.1744,0.992778,0.5406,838,11694.88,0.5783,0.107407,0.054628,0.508606,-0.010405,2,False,vwap_60m,15:30
45,-0.122345,-0.1714,0.992571,0.5406,838,12331.33,0.5783,0.110094,0.054933,0.498967,-0.010316,2,False,vwap_60m,15:30
46,-0.179932,-0.3007,0.990225,0.6683,838,4152.39,0.4378,0.024447,0.011620,0.475297,-0.010367,2,False,vwap_60m,15:30
47,-0.124856,-0.1747,0.992512,0.5382,838,11777.44,0.5783,0.109500,0.054943,0.501758,-0.009944,2,False,vwap_60m,15:30
48,-0.126866,-0.1759,0.992849,0.5394,838,11351.02,0.5783,0.109302,0.054551,0.499083,-0.012652,2,False,vwap_60m,15:30
49,-0.147261,-0.2196,0.998708,0.5370,838,7769.80,0.6805,0.067366,0.034774,0.516203,-0.010207,1,False,vwap_60m,close
50,0.154382,0.2709,0.751452,0.5609,838,999955.42,0.6371,0.060771,0.028891,0.475408,-0.008628,1,True,open,close
51,-0.106302,-0.1819,0.994525,0.5776,838,16488.53,0.6683,0.066640,0.031895,0.478621,-0.020368,1,True,10:00,close
52,-0.070128,-0.1352,0.994703,0.5585,838,31157.25,0.6440,0.063156,0.031412,0.497368,-0.008553,1,True,10:00,close
53,-0.091232,-0.1629,0.994331,0.5597,838,21560.29,0.6465,0.066575,0.027777,0.417233,-0.007399,1,True,10:00,close
54,-0.103741,-0.1800,0.994136,0.5776,838,17262.95,0.6391,0.061997,0.024978,0.402896,-0.013649,1,True,10:00,close
55,-0.084037,-0.1538,0.994767,0.5609,838,24467.38,0.6386,0.063986,0.025991,0.406198,-0.007072,1,True,10:00,close
56,-0.112456,-0.1903,0.994530,0.5788,838,14758.96,0.6663,0.067630,0.028812,0.426026,-0.020398,1,True,10:00,close
57,-0.115829,-0.1950,0.994368,0.5800,838,13884.40,0.6648,0.067005,0.028418,0.424113,-0.021039,1,True,10:00,close
58,-0.080551,-0.1486,0.994419,0.5573,838,26004.03,0.6517,0.071087,0.027911,0.392632,-0.007096,1,True,10:00,close
59,-0.089439,-0.1603,0.996165,0.5442,838,22252.93,0.6517,0.062572,0.040106,0.640952,-0.006980,1,True,10:00,close
60,-0.090376,-0.1618,0.994397,0.5597,838,21888.42,0.6455,0.066309,0.027410,0.413366,-0.006806,1,True,10:00,close
61,-0.087940,-0.1586,0.994400,0.5621,838,22847.72,0.6450,0.066347,0.027218,0.410244,-0.006677,1,True,10:00,close
62,-0.086278,-0.1566,0.994513,0.5621,838,23524.72,0.6445,0.065660,0.026855,0.409002,-0.007416,1,True,10:00,close
